,compound,date,neg,neu,pos
86,0.58774,2017-02-25,0.05840000000000001,0.8310000000000001,0.1106
87,0.9944666666666667,2016-12-31,0.060000000000000005,0.8326666666666666,0.10733333333333334
88,0.7018,2016-06-22,0.03,0.9229999999999999,0.046
89,0.02065,2016-12-07,0.101,0.7815000000000001,0.118
90,-0.002850000000000019,2016-04-13,0.1225,0.8,0.077
91,0.9993,2017-01-07,0.081,0.8079999999999999,0.11
92,0.9211,2016-11-26,0.0435,0.8665,0.09
93,-0.004049999999999998,2016-06-25,0.0915,0.8140000000000001,0.0945
94,0.7029599999999999,2016-11-07,0.07139999999999999,0.8154,0.11299999999999999
95,-0.89325,2017-06-26,0.0935,0.847,0.0595
96,0.9966999999999999,2016-10-09,0.0455,0.8285,0.126
97,0.9127,2016-11-13,0.057999999999999996,0.8690000000000001,0.073
98,0.14535000000000003,2016-09-02,0.0565,0.887,0.057
99,0.22076666666666667,2016-10-10,0.051333333333333335,0.8623333333333334,0.08600000000000001
100,0.9923,2016-03-26,0.0615,0.8220000000000001,0.11649999999999999
101,0.9790000000000001,2017-01-21,0.076,0.8170000000000001,0.107
102,-0.9954,2017-01-13,0.11800000000000001,0.8320000000000001,0.05
103,0.9988,2016-06-06,0.027999999999999997,0.838,0.134
104,0.9967,2016-05-11,0.048,0.8370000000000001,0.11599999999999999
105,-0.06593333333333333,2017-05-22,0.07366666666666667,0.8303333333333334,0.09600000000000002
106,0.87546,2017-03-02,0.033800000000000004,0.8526,0.11320000000000001
107,0.9439,2017-05-15,0.10300000000000001,0.779,0.11699999999999999
108,0.501525,2016-05-02,0.0595,0.8527499999999999,0.08800000000000001
109,0.9602,2016-02-20,0.051,0.872,0.077
110,0.9379500000000001,2016-03-22,0.0545,0.8679999999999999,0.07750000000000001
111,0.9522999999999999,2016-04-30,0.022000000000000002,0.902,0.07550000000000001
112,0.9705,2016-04-12,0.036000000000000004,0.857,0.107
113,-0.62015,2016-01-26,0.0975,0.8345,0.068
114,0.9259333333333334,2017-03-22,0.04466666666666667,0.8696666666666667,0.08566666666666667
115,0.4326,2016-01-14,0.0645,0.8505,0.08525
116,0.7531249999999999,2017-01-18,0.05374999999999999,0.846,0.1
117,0.9709,2016-05-26,0.043,0.861,0.09699999999999999
118,0.907125,2016-02-17,0.03875000000000001,0.8685,0.093
119,0.996,2016-10-11,0.023,0.846,0.131
120,0.98255,2016-03-19,0.0265,0.8785000000000001,0.095
121,0.99665,2017-02-13,0.051500000000000004,0.7995,0.14900000000000002
122,0.9977,2016-09-03,0.091,0.7809999999999999,0.128
123,0.9487,2017-02-14,0.065,0.847,0.08800000000000001
124,0.39832,2016-01-18,0.0844,0.8213999999999999,0.09440000000000001
125,,2016-9-30,,,
126,0.9640666666666666,2016-02-25,0.041666666666666664,0.882,0.07666666666666667
127,0.4270666666666667,2017-01-31,0.06033333333333333,0.8416666666666668,0.09766666666666667
128,0.9969,2016-07-25,0.055,0.83,0.114
129,0.9652,2017-06-19,0.07400000000000001,0.823,0.10300000000000001
130,0.8773199999999999,2016-01-25,0.07819999999999999,0.805,0.11679999999999999
131,0.5179,2016-04-25,0.061,0.8405,0.09825
132,-0.9995,2017-04-23,0.203,0.731,0.065
133,0.8298,2017-02-22,0.060000000000000005,0.8594999999999999,0.0805
134,0.8189000000000001,2016-03-03,0.07150000000000001,0.8455,0.083
135,0.9571,2017-01-30,0.037000000000000005,0.893,0.071
136,0.9927999999999999,2017-02-27,0.05000000000000001,0.828,0.12233333333333334
137,0.012799999999999978,2017-04-25,0.10600000000000001,0.7775000000000001,0.1165
138,0.9000199999999999,2016-12-14,0.0494,0.8559999999999999,0.09460000000000002
139,0.9821,2017-05-25,0.057333333333333326,0.844,0.09833333333333333
140,0.997,2016-10-20,0.03,0.8440000000000001,0.126
141,0.71316,2017-01-25,0.055799999999999995,0.8434000000000001,0.1008
142,,2016-10-06,,,
143,0.9929,2017-01-27,0.076,0.805,0.11900000000000001
144,-0.9459,2017-03-04,0.109,0.809,0.08199999999999999
145,0.8851,2017-06-15,0.077,0.8220000000000001,0.1
146,-0.9856,2016-02-03,0.106,0.821,0.07200000000000001
147,0.6037666666666667,2016-08-22,0.053,0.8743333333333333,0.07266666666666667
148,0.9540000000000001,2017-01-06,0.066,0.846,0.08800000000000001
149,-0.41,2016-01-12,0.084,0.838,0.078
150,0.9795,2017-04-18,0.081,0.8079999999999999,0.111
151,0.9998,2016-11-12,0.069,0.8109999999999999,0.11900000000000001
152,0.9648,2017-05-03,0.07200000000000001,0.826,0.102
153,-0.31839999999999996,2016-10-26,0.08566666666666667,0.8380000000000001,0.07633333333333335
154,0.15882,2016-06-24,0.0644,0.8714000000000001,0.0638
155,0.998,2017-04-09,0.045,0.8009999999999999,0.154
156,0.7532,2016-09-30,0.077,0.836,0.087
157,-0.9985,2016-07-31,0.18,0.725,0.095
158,0.3123666666666667,2016-04-04,0.09100000000000001,0.7956666666666666,0.11333333333333333
159,0.9183199999999999,2016-12-16,0.0426,0.882,0.0754
