,compound,date,neg,neu,pos
93,0.9991,2017-05-16,0.02,0.8420000000000001,0.138
94,0.9997,2016-08-31,0.046,0.84,0.114
95,0.9955,2016-10-21,0.084,0.784,0.132
96,0.9978,2017-06-27,0.037000000000000005,0.851,0.11199999999999999
97,-0.9916,2017-04-12,0.111,0.852,0.037000000000000005
98,0.9855666666666667,2016-09-14,0.042666666666666665,0.8463333333333333,0.11066666666666668
99,0.9983,2016-07-05,0.063,0.807,0.13
100,0.9162,2016-12-05,0.06,0.871,0.069
101,-0.89,2017-06-02,0.078,0.851,0.071
102,0.9997,2016-08-17,0.07400000000000001,0.736,0.19
103,0.8858,2016-11-09,0.036000000000000004,0.894,0.069
104,-0.9847,2016-10-18,0.081,0.868,0.051
105,0.9855,2016-09-17,0.053,0.8540000000000001,0.09300000000000001
